Gloss,1,2,3,4,5,6,7,8,9,10,11,12
"FAR-(""""A"""" HAND"," """"INDEX FINGER)", DISTANT,,,,,,,,,,
FARM,,,,,,,,,,,,
FART,,,,,,,,,,,,
FAST, QUICK, SPEED, IMMEDIATELY,,,,,,,,,
FAT, OBESE,,,,,,,,,,,
FATHER,,,,,,,,,,,,
FAULT,,,,,,,,,,,,
FAVORITE, PREFER,,,,,,,,,,,
FEAR,,,,,,,,,,,,
FEATHER,,,,,,,,,,,,
FEDERAL,,,,,,,,,,,,
FEED, NOURISH, SPEND,,,,,,,,,,
FEEL,,,,,,,,,,,,
FEET,,,,,,,,,,,,
FENCE,,,,,,,,,,,,
FERRET,,,,,,,,,,,,
FEW, SEVERAL,,,,,,,,,,,
FICTION,,,,,,,,,,,,
FIELD, ALL-OVER, -DOM, -HOOD, LAND, AREA, GROUND,,,,,,
FIGHT,,,,,,,,,,,,
FIGURE-OUT,,,,,,,,,,,,
FILE,,,,,,,,,,,,
FILLER-SIGNS,,,,,,,,,,,,
FIND, DISCOVER, PICK-UP,,,,,,,,,,
FINE/[COOL, SWELL,,,,,,,,,,,
FINGERSPELL,,,,,,,,,,,,
FINGERSPELLING-WORKSHOP,,,,,,,,,,,,
FINISH-(DONE),,,,,,,,,,,,
FIRE,,,,,,,,,,,,
FIRE-(TERMINATE), EXCOMMUNICATE,,,,,,,,,,,
FIREFLY,,,,,,,,,,,,
FIREMAN,,,,,,,,,,,,
FIREWORKS,,,,,,,,,,,,
FIRST,,,,,,,,,,,,
FISH,,,,,,,,,,,,
FISHERMAN,,,,,,,,,,,,
FIX, #FIX,,,,,,,,,,,
FLASH-LIGHTS,,,,,,,,,,,,
FLAT-(TIRE) (SURFACE),,,,,,,,,,,,
FLATTERY,,,,,,,,,,,,
FLOOR,,,,,,,,,,,,
FLOPPY DISK,,,,,,,,,,,,
FLORIDA,,,,,,,,,,,,
FLOWER,,,,,,,,,,,,
FLUNK,,,,,,,,,,,,
FLY,,,,,,,,,,,,
FLY-(INSECT),,,,,,,,,,,,
FOLLOW, WITH,,,,,,,,,,,
